A [  -217.935,   207.993, * 0.000]
B [  292.058,   209.996, * 0.000]
C [  -216.279, * 0.000, * 0.000]
D [  291.220, * 0.000, * 0.000]
E [  -247.644,   220.486,   652.223]
F [  354.268,   240.949,   853.491]
G [  -245.729,   1.986,   804.457]
H [  353.192,   2.354,   852.242]
I [  -63.906,   -1.881,   903.854]
J [  148.641,   2.036,   924.469]
